LAT|LON|ROW|COL|SOURCE TYPE|BUSINESS NAME|BUSINESS ID|YEAR|WDW|FUEL TYPE|PURCHASE WEIGHT|MONTHLY PURCHASE|FUEL CONSUMPTION|CoBChP|CoBP|CoCh|FUEL ID|GROW RATE
4.611035|-74.096546|29.0|34.0|RESTAURANT|MIS DELICIAS DEL POLLO|C583|2011.0|7.0|CHARBROILING|25.0|20.0|500.0|0.0|0.0|369.105467658|CC|0.0562088381942
4.611131|-74.173927|29.0|26.0|RESTAURANT|MIS LLAMITAS DE ORO |C584|2011.0|7.0|CHARBROILING  WOOD|||750.0|0.0|0.0|0.0|CW|0.0562088381942
4.66558055556|-74.050875|35.0|39.0|RESTAURANT|MISTER RIBS|C585|2010.0|7.0|CHARBROILING|||728.729691877|0.0|0.0|0.0|C|0.0562088381942
4.65189149025|-74.0557271231|33.0|39.0|RESTAURANT|MISTER RIBS (INVERSIONES SYM LIMITADA)|C586|2010.0|7.0|CHARBROILING|||728.729691877|0.0|0.0|0.0|C|0.0562088381942
4.601416|-74.097655|28.0|34.0|RESTAURANT|MOJICA BARRETO LUIS - ASADERO BRASADORAVES|C587|2009.0|7.0|CHARBROILING|||250.0|0.0|0.0|0.0|C|0.0562088381942
4.60230108326|-74.0754009581|28.0|37.0|RESTAURANT|MONTE CARLOS|C588|2011.0|7.0|CHARBROILING|20.0|30.0|600.0|0.0|0.0|442.926561189|CC|0.0562088381942
4.66925386904|-74.098184336|35.0|34.0|PEDDLING|MORICHAL 63 ASADERO|C589|2009.0|5.0|WOOD|||605.0|0.0|0.0|0.0|W|0.0562088381942
4.6517|-74.0545611111|33.0|39.0|MEAT CHARBROILING|AREPAS LUDY|C59|2011.0|7.0|CHARBROILING|20.0|10.0|200.0|0.0|0.0|0.0|C|0.0562088381942
4.65127639268|-74.0556263487|33.0|39.0|RESTAURANT|MORRILLO PARRILLA|C590|2007.0|7.0|CHARBROILING  WOOD|||1596.31944444|0.0|0.0|0.0|CW|0.0562088381942
4.68663333333|-74.0969972222|37.0|34.0|MEAT CHARBROILING|MR POLLO JC|C591|2009.0|7.0|CHARBROILING|||1440.0|0.0|0.0|0.0|C|0.0562088381942
4.56934166667|-74.0874833333|24.0|35.0|MEAT CHARBROILING|NO REGISTRA|C592|2011.0|7.0|CHARBROILING|25.0|60.0|1500.0|0.0|0.0|1107.31640297|CC|0.0562088381942
4.589513|-74.081031|26.0|36.0|MEAT CHARBROILING|NUEVA SANTANDERIANA DE LA 22|C593|2013.0|7.0|CHARBROILING|25.0|50.0|1250.0|0.0|0.0|922.763669145|CC|0.0562088381942
4.65546708484|-74.0590924882|34.0|38.0|MEAT CHARBROILING|O´SOLE MIO |C594|2010.0|7.0|WOOD|||1383.33333333|0.0|0.0|0.0|W|0.0562088381942
4.65638305577|-74.0532445245|34.0|39.0|RESTAURANT|OCHO Y MEDIO LIMITADA|C595|2008.0|6.0|WOOD|||300.0|0.0|0.0|0.0|W|0.0562088381942
4.613062|-74.137682|29.0|30.0|MEAT CHARBROILING|OSCAR BARON|C596|2012.0|6.0|CHARBROILING|20.0|2.0|40.0|0.0|0.0|0.0|C|0.0562088381942
4.67229722222|-74.0997361111|36.0|34.0|RESTAURANT|PAISANO MATEUS|C597|2012.0|7.0|CHARBROILING  WOOD|||1596.31944444|0.0|0.0|0.0|CW|0.0562088381942
4.67568888889|-74.1399444444|36.0|29.0|MEAT CHARBROILING|PALACIO DE LA GALLINA|C598|2011.0|7.0|CHARBROILING|20.0|4.0|80.0|0.0|0.0|0.0|C|0.0562088381942
4.61461587087|-74.1106998547|29.0|33.0|RESTAURANT|PANADERIA HORNIPAN|C599|2007.0|7.0|CHARBROILING|||728.729691877|0.0|0.0|0.0|C|0.0562088381942
4.69225840847|-74.1009687617|38.0|34.0|MEAT CHARBROILING|ALCARABON LLANERO|C6|2011.0|5.0|WOOD|1000.0|3.0|3000.0|0.0|0.0|0.0|W|0.0562088381942
